Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.086861465470905674e+00,4.533225047130420293e+00,4.985413751108944416e+04,2.260000248683548998e+05,5.600000000000000000e+01,1.329349000000000000e+06,2.498350000000000000e+05,4.458756229273879157e-01,7.427276647435104850e-02,5.098450679796729529e-02,1.058589584503576708e-01,7.065195798874031839e-03,2.868516614177720608e-02,-3.250277227102083000e-03
1.088961978844052769e+00,4.564150159718568744e+00,4.969056691940472228e+04,2.267952089417072712e+05,8.400000000000000000e+01,1.329277000000000000e+06,2.471030000000000000e+05,4.496841832364998903e-01,7.654407898709320035e-02,5.308624656616807436e-02,1.091177504587101943e-01,7.569476508849067378e-03,3.002844543094658133e-02,-3.416767017981117271e-03
9.389033304248473044e-01,3.039806787450001213e+00,2.583036167183071666e+04,7.851930873231937585e+04,2.100000000000000000e+01,5.659190000000000000e+05,1.611370000000000000e+05,7.490512577557840723e-01,3.268365436897690546e-01,2.229569676341140172e-01,4.962431977102614300e-01,1.628991980884527402e-01,2.835231789696787130e-01,-2.664538488894037382e-02
9.378301958784662773e-01,3.035817601713672875e+00,2.595705662547197426e+04,7.880088939228633535e+04,3.300000000000000000e+01,5.683220000000000000e+05,1.606780000000000000e+05,7.439393045212224775e-01,3.220825983939351600e-01,2.192332977630427615e-01,4.872944983004734443e-01,1.571754375322755026e-01,2.763811193573195713e-01,-2.576002316911080170e-02
9.897178292849014847e-01,3.147242565376765278e+00,2.169710982119099208e+04,6.828606757490654127e+04,1.200000000000000000e+01,4.814450000000000000e+05,8.380700000000000000e+04,8.518677769437991154e-01,4.503206160205123210e-01,3.472934213457327113e-01,7.224827118151433414e-01,3.586516289734920648e-01,4.844133789554045388e-01,-4.838545658820608830e-02
9.942886813777077615e-01,3.255091943293352053e+00,2.102046531264867372e+04,6.842354728348006029e+04,4.300000000000000000e+01,4.745430000000000000e+05,8.444300000000000000e+04,8.623149972069257263e-01,4.641927305799144476e-01,3.667419384092762136e-01,7.509864859790184033e-01,3.905823369139279633e-01,5.111987907543684706e-01,-5.268785657728647376e-02
9.350148178811115152e-01,2.738885481453841031e+00,1.201231661485859513e+04,3.290035957506296108e+04,3.800000000000000000e+01,2.497390000000000000e+05,6.414600000000000000e+04,1.460263862425488224e+00,1.645399199959578507e+00,2.175607398937569048e+00,3.451508121781354355e+00,9.450210568135545941e+00,4.424376735411920336e+00,-3.860790250728456385e-01
9.392453650664336351e-01,2.748585816096914769e+00,1.196552530393426423e+04,3.288827313254244655e+04,3.900000000000000000e+01,2.491950000000000000e+05,6.496500000000000000e+04,1.460572166588594012e+00,1.647093631953039816e+00,2.181218377393163266e+00,3.455933775413951636e+00,9.480640545706863875e+00,4.432304686874550370e+00,-3.861875764322473259e-01
1.174279908763208757e+00,5.812499775357681031e+00,1.338270974584008945e+04,7.778699739137256984e+04,5.000000000000000000e+01,4.004870000000000000e+05,4.638700000000000000e+04,1.028527233693990350e+00,6.677119165532486855e-01,7.015305133249256642e-01,1.284891724863921336e+00,1.204341125316582106e+00,1.048267509622650140e+00,-1.941921223470047808e-01
1.180716441679483086e+00,5.801512606691519025e+00,1.352297243796523253e+04,7.845369507879724551e+04,3.200000000000000000e+01,4.042240000000000000e+05,4.412600000000000000e+04,1.019548014433053318e+00,6.530207326352036601e-01,6.805411823745235456e-01,1.252029974351834829e+00,1.140522355506113694e+00,1.010171340030039167e+00,-1.867537640079044436e-01
