Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
1.080563087170981484e+00,4.420161476600083184e+00,3.251837351119349478e+04,1.437364618758700672e+05,3.400000000000000000e+01,8.563450000000000000e+05,1.634330000000000000e+05,5.786209661722880870e-01,1.557262007371716661e-01,1.081136683001949900e-01,2.355321569390352865e-01,3.573109441943247283e-02,9.294377689163056677e-02,-1.165881718712206971e-02
1.079732194174798598e+00,4.402460703257944807e+00,3.257365141644777032e+04,1.434042203225338017e+05,2.100000000000000000e+01,8.559990000000000000e+05,1.638420000000000000e+05,5.833004277118711833e-01,1.592098549542860231e-01,1.109395350373407613e-01,2.412972571636833874e-01,3.756171584599291707e-02,9.627888168086816412e-02,-1.215521186438116991e-02
1.168559764502530074e+00,5.958736122220691378e+00,2.105598371225300070e+04,1.254670507350924745e+05,3.300000000000000000e+01,6.430790000000000000e+05,1.081450000000000000e+05,7.228277491743865246e-01,2.713490873693423788e-01,2.382326005784357326e-01,4.601765118971267166e-01,1.468740781924541550e-01,2.396559962177387815e-01,-4.053785531128333008e-02
1.189951485195127834e+00,6.166678956856192606e+00,2.147456103674403857e+04,1.324267236530133523e+05,5.500000000000000000e+01,6.660930000000000000e+05,1.017510000000000000e+05,7.137122009610201712e-01,2.596783736785465702e-01,2.325636167939701682e-01,4.434707165650091376e-01,1.367426783457644512e-01,2.259590850799033657e-01,-3.980761968769875453e-02
1.018799919871561377e+00,3.757085602705599658e+00,9.891382986365297256e+03,3.716277260892018239e+04,1.700000000000000000e+01,2.408520000000000000e+05,6.242400000000000000e+04,1.526511141009795125e+00,1.780741152078066714e+00,2.496869598481568975e+00,3.956856324750875231e+00,1.241934757649794996e+01,5.274511205328919594e+00,-6.665378070938237087e-01
1.014702861707761805e+00,3.757137676726404862e+00,9.829307534432191460e+03,3.693006167374591314e+04,1.500000000000000000e+01,2.393520000000000000e+05,6.045300000000000000e+04,1.535259324040375128e+00,1.808390451694257495e+00,2.561155758775678137e+00,4.030528073803511191e+00,1.293208806455821325e+01,5.414289341875366368e+00,-6.758445492401419230e-01
1.026096083414800297e+00,3.807797610546538092e+00,1.540970132134116284e+04,5.867702387063870265e+04,1.600000000000000000e+01,3.777520000000000000e+05,9.638600000000000000e+04,1.046919797930262686e+00,7.378258045370449381e-01,7.186049497845730105e-01,1.326822521150945899e+00,1.288073117118967215e+00,1.138278488962273016e+00,-1.392698804307967442e-01
1.023270760443267813e+00,3.813810888280811273e+00,1.543982880005146581e+04,5.888458719082792959e+04,2.500000000000000000e+01,3.787950000000000000e+05,1.001610000000000000e+05,1.039427971192723232e+00,7.235661165059713573e-01,6.976417196584518976e-01,1.297690186997003448e+00,1.227272953296958402e+00,1.102473975706816711e+00,-1.355158832437181049e-01
9.193609260535754446e-01,2.508501853163326079e+00,3.852597304406569310e+04,9.664247477595914097e+04,2.900000000000000000e+01,7.666020000000000000e+05,1.958080000000000000e+05,5.918593505296091406e-01,1.780655338838341151e-01,9.265282375555861094e-02,2.472912501807243424e-01,3.663838356136816382e-02,1.043375529992899148e-01,-7.666795304603584230e-03
9.154711625908408257e-01,2.481809570201900961e+00,3.855558474011701037e+04,9.568761919275275432e+04,2.700000000000000000e+01,7.631480000000000000e+05,2.033770000000000000e+05,5.962927679655847246e-01,1.836866391494436646e-01,9.741420654791908829e-02,2.540945730140448111e-01,3.920408663965403717e-02,1.088856992919503830e-01,-7.820243109102426038e-03
1.130590283627864956e+00,5.079906321507133171e+00,3.465470407330291346e+04,1.760426502919304476e+05,4.600000000000000000e+01,9.708870000000000000e+05,1.277150000000000000e+05,5.464631267790878155e-01,1.296229257019109737e-01,9.848536259103066182e-02,1.989461063191213797e-01,2.606283605420213478e-02,7.157186870651620347e-02,-9.809272258366925901e-03
1.132329673959057592e+00,5.100294005704269829e+00,3.442809869916783646e+04,1.755934254231606901e+05,7.600000000000000000e+01,9.662660000000000000e+05,1.115080000000000000e+05,5.493970559877404680e-01,1.314471596963648348e-01,1.003258320012512528e-01,2.022022537344399518e-01,2.696695720637764040e-02,7.325621753943414860e-02,-1.010920583547553209e-02
1.126730927120760839e+00,4.991604520532424871e+00,3.523355902319031884e+04,1.758719924946028041e+05,3.500000000000000000e+01,9.784140000000000000e+05,1.214520000000000000e+05,5.392041562603824278e-01,1.249415710661967299e-01,9.337132273308028363e-02,1.907098477216175036e-01,2.377880039235100162e-02,6.735136285003390233e-02,-9.066833334475596362e-03
1.133150571517351102e+00,5.135346896013040841e+00,3.427512782062456245e+04,1.760146712640945625e+05,5.700000000000000000e+01,9.655660000000000000e+05,1.219550000000000000e+05,5.485378503797150307e-01,1.310571731892975211e-01,1.005746995310311254e-01,2.014472618684744476e-01,2.685277330075042448e-02,7.287096095549729091e-02,-1.005583486132546368e-02
1.048532970903851114e+00,4.123874186783145213e+00,3.497934316985351325e+04,1.442504103687882307e+05,5.700000000000000000e+01,8.923660000000000000e+05,2.311340000000000000e+05,5.612662983039973241e-01,1.450149429583489358e-01,9.561139140259274083e-02,2.148402219634965027e-01,2.926225504884761783e-02,8.180973545986001960e-02,-9.582556177582158066e-03
1.043065041798455050e+00,4.045814152514838113e+00,3.558431527660536813e+04,1.439675263536399580e+05,6.300000000000000000e+01,8.991380000000000000e+05,2.378440000000000000e+05,5.554658758363721915e-01,1.421395149592112883e-01,9.280184040139739798e-02,2.088963273298165557e-01,2.766377808782571890e-02,7.875324319803593542e-02,-8.981858015538496387e-03
1.072691110231144496e+00,4.372063667539110021e+00,1.477266719296608062e+04,6.458704150701397157e+04,4.500000000000000000e+01,3.873360000000000000e+05,8.298600000000000000e+04,1.022585784527666908e+00,6.853769907262620142e-01,6.684878950758185168e-01,1.245689494201642322e+00,1.127548275486708107e+00,1.029832758658665304e+00,-1.442730105795069773e-01
1.077245160169280958e+00,4.411705517444667102e+00,1.474701037570920744e+04,6.505946704033006245e+04,3.300000000000000000e+01,3.884040000000000000e+05,7.994600000000000000e+04,1.031496314396756375e+00,7.002766161445980186e-01,6.914144384837324075e-01,1.279199145894322598e+00,1.193500296419276685e+00,1.068958121680516404e+00,-1.511233357618962381e-01
1.043572163577482170e+00,3.796797144113496447e+00,1.151211133853667707e+04,4.370915145287265477e+04,1.600000000000000000e+01,2.790600000000000000e+05,3.536400000000000000e+04,1.348783000250175057e+00,1.337699026833116145e+00,1.662480928152821225e+00,2.768334298708665209e+00,5.924760318528326408e+00,3.197996809925296890e+00,-4.095954659958991328e-01
1.039185435122760515e+00,3.794749119076407773e+00,1.156253548832317756e+04,4.387692135860407870e+04,6.000000000000000000e+00,2.802380000000000000e+05,3.617200000000000000e+04,1.337406224651056963e+00,1.311720302367726187e+00,1.615920740264161104e+00,2.700814741221784221e+00,5.628447803392880644e+00,3.089532095006096934e+00,-3.943920020339182209e-01
1.200455304768045517e+00,6.258200766334986120e+00,2.365789712391042849e+04,1.480558699107305147e+05,4.100000000000000000e+01,7.399410000000000000e+05,1.249990000000000000e+05,6.638106666539196343e-01,2.147906965783689115e-01,1.900021053129910542e-01,3.586787124313602915e-01,8.930333689751830673e-02,1.662315043013826155e-01,-2.814965029390825019e-02
1.198631645455156658e+00,6.261484850144473313e+00,2.353331664162498782e+04,1.473535056251876813e+05,5.000000000000000000e+01,7.361950000000000000e+05,1.287450000000000000e+05,6.697146022246440733e-01,2.205648592083307991e-01,1.967386094825389342e-01,3.691234362667911717e-01,9.499109167968965151e-02,1.733560909120837878e-01,-2.952006302972847579e-02
1.220865343038780360e+00,6.533304111976414141e+00,1.571465881639184954e+04,1.026686450634392822e+05,2.000000000000000000e+01,5.019360000000000000e+05,8.999600000000000000e+04,8.706392421280000349e-01,4.336834803268935778e-01,4.285860534892388940e-01,7.970507928930088415e-01,4.547165980807272856e-01,5.243803135527086434e-01,-1.012469827326880623e-01
1.221235091379506255e+00,6.584385489143274484e+00,1.547858157137349190e+04,1.019169478910721227e+05,2.000000000000000000e+01,4.963740000000000000e+05,8.101400000000000000e+04,8.802460249454457930e-01,4.454578974341094066e-01,4.441393753089812879e-01,8.232436230072490702e-01,4.861423790742160356e-01,5.488941442593222586e-01,-1.070857448100482612e-01
1.212017630143577440e+00,6.419498023483886762e+00,1.990428995895956177e+04,1.277755500503910735e+05,6.100000000000000000e+01,6.305570000000000000e+05,1.103570000000000000e+05,7.405689760194469340e-01,2.856914667326639901e-01,2.632316143978316036e-01,4.960840704948490387e-01,1.727256638525524468e-01,2.650944086579702375e-01,-4.798685752226668211e-02
1.214273978333328952e+00,6.469725013778952594e+00,1.966099966217116162e+04,1.272012613102483010e+05,4.300000000000000000e+01,6.253300000000000000e+05,1.087880000000000000e+05,7.463592623569124118e-01,2.919618890546539225e-01,2.711531869731242939e-01,5.083214156555804220e-01,1.820113158961492728e-01,2.745923803461638446e-01,-4.986615763555245218e-02
1.002005543687722433e+00,3.517834200455011384e+00,5.586189090298619703e+04,1.965128703206115169e+05,5.800000000000000000e+01,1.316201000000000000e+06,3.499510000000000000e+05,4.357181844292974393e-01,7.183288989239677846e-02,4.025239123635691862e-02,9.940167505582356289e-02,5.779050476566251725e-03,2.656901448111100017e-02,-2.477248661460275045e-03
1.001999268670424437e+00,3.521170907444576059e+00,5.531579747661354486e+04,1.947763767967477324e+05,7.100000000000000000e+01,1.303952000000000000e+06,3.262920000000000000e+05,4.378262340960255017e-01,7.234038221714457484e-02,4.058459760309182651e-02,1.006084343250184254e-01,5.900068910388211497e-03,2.698775536168331740e-02,-2.553251397024295256e-03
1.091358334356096194e+00,4.622999857725824668e+00,2.054726456207131559e+04,9.499000114711056813e+04,3.500000000000000000e+01,5.542380000000000000e+05,1.233270000000000000e+05,7.860839020635981278e-01,3.509821958046541734e-01,2.853024066879413234e-01,5.810452756340902525e-01,2.314930405978042616e-01,3.439588533146463734e-01,-4.876885609706010233e-02
1.085213188527656802e+00,4.568097141931372285e+00,2.095248569936689455e+04,9.571299003963587165e+04,7.500000000000000000e+01,5.618330000000000000e+05,1.244470000000000000e+05,7.788010248259988888e-01,3.440978307860876884e-01,2.777289814979507776e-01,5.660417558880728173e-01,2.196195570689632726e-01,3.317842697731422930e-01,-4.622370296404951923e-02
9.234054943707199481e-01,2.674908970396673968e+00,9.933001607358692127e+03,2.656987510248834587e+04,2.700000000000000000e+01,2.041150000000000000e+05,5.783500000000000000e+04,1.747696622778860398e+00,2.459675571127584170e+00,3.915197082307495080e+00,5.817185202807216626e+00,2.775064939509736917e+01,9.118415964643109106e+00,-7.834390735604763734e-01
9.233059782571484408e-01,2.683779877779324252e+00,9.917329696266522660e+03,2.661592988014343064e+04,2.000000000000000000e+01,2.041370000000000000e+05,5.611200000000000000e+04,1.746177672527823965e+00,2.458565533218302512e+00,3.922805656001871366e+00,5.810475237244098423e+00,2.772962974086532384e+01,9.105809859918661431e+00,-7.801428612667944407e-01
9.288721875337664358e-01,2.686130848912397173e+00,1.554524685809750372e+04,4.175656713949421828e+04,3.000000000000000000e+01,3.201090000000000000e+05,8.813100000000000000e+04,1.179445137839415070e+00,1.009740617183049194e+00,1.068053942092129560e+00,1.855855970674280098e+00,2.608209232867478633e+00,1.863472671636325018e+00,-1.555092619572873147e-01
9.262620257382658817e-01,2.687253258737361872e+00,1.556926446301556643e+04,4.183855666438238404e+04,3.700000000000000000e+01,3.206790000000000000e+05,8.756100000000000000e+04,1.174723513466027658e+00,9.960482284515784768e-01,1.041053419383171530e+00,1.828649292269222126e+00,2.518345836108870195e+00,1.823658530922706689e+00,-1.545954875001827045e-01
9.319185751085893310e-01,2.734021130188901694e+00,9.102088587404326972e+03,2.488530252681468119e+04,3.600000000000000000e+01,1.890680000000000000e+05,4.742800000000000000e+04,1.870776463226504038e+00,2.864077071017501197e+00,4.929343102629578866e+00,7.116981785747871214e+00,4.214068254836186611e+01,1.203829773830274519e+01,-1.057646287994398193e+00
9.348557149825041934e-01,2.735862547368600683e+00,9.143484669952144031e+03,2.501531726096101920e+04,2.400000000000000000e+01,1.899970000000000000e+05,5.003300000000000000e+04,1.868692996215948643e+00,2.855514443507587430e+00,4.903488536133571607e+00,7.090668287451169505e+00,4.179707271638927324e+01,1.197582578274519172e+01,-1.051815009106608301e+00
9.306673003044927395e-01,2.756400700740639476e+00,1.031161904023850366e+04,2.842295394828393182e+04,3.600000000000000000e+01,2.150810000000000000e+05,5.731300000000000000e+04,1.664327062901393539e+00,2.209134643323244607e+00,3.359229942425892013e+00,5.058243804711789693e+00,2.084012787758801011e+01,7.513634316118926293e+00,-6.621829977821729329e-01
9.365492743800584163e-01,2.776142198970188879e+00,1.030054518989909047e+04,2.859577817407826296e+04,2.900000000000000000e+01,2.156210000000000000e+05,5.718200000000000000e+04,1.674632811294620272e+00,2.241502235702965251e+00,3.439940259684583168e+00,5.155677725428572167e+00,2.170141806740343782e+01,7.714250961201861934e+00,-6.845827344540129644e-01
9.357974927297276757e-01,2.756472158658268334e+00,1.653577325539805315e+04,4.558039860039073392e+04,2.200000000000000000e+01,3.449270000000000000e+05,9.395300000000000000e+04,1.106549135459793165e+00,8.612684589049711681e-01,8.426242183899625982e-01,1.534979693683819146e+00,1.741223278917797712e+00,1.423385400862382966e+00,-1.250133893074140135e-01
9.337011122517252515e-01,2.755706508532982379e+00,1.664088278207030089e+04,4.585738899028557353e+04,2.000000000000000000e+01,3.470760000000000000e+05,9.766800000000000000e+04,1.099492565038256320e+00,8.556491030876621773e-01,8.447562370485464101e-01,1.516206694784881570e+00,1.711734833918073129e+00,1.401382167145435620e+00,-1.201269669641076288e-01
9.343990840205239623e-01,2.751038324641410071e+00,1.456742342839821504e+04,4.007554014280265255e+04,2.700000000000000000e+01,3.035720000000000000e+05,8.469400000000000000e+04,1.233295500231119224e+00,1.113169835273023933e+00,1.224598622402558235e+00,2.106628773030687185e+00,3.378006318787883711e+00,2.220927999489259452e+00,-1.944638185903084793e-01
9.314491182682762549e-01,2.731406462606149610e+00,1.471237080794408394e+04,4.018546470507652703e+04,2.500000000000000000e+01,3.055020000000000000e+05,8.117600000000000000e+04,1.222560399429642342e+00,1.093835161301397019e+00,1.196941878197895770e+00,2.056787239888862917e+00,3.221878978162291851e+00,2.149484897690400853e+00,-1.845581112676033531e-01
9.324436744606471317e-01,2.733924004144560271e+00,1.470527021936895835e+04,4.020309124016494025e+04,3.700000000000000000e+01,3.054990000000000000e+05,8.276700000000000000e+04,1.224053757985227087e+00,1.098559824492183479e+00,1.207721694660290890e+00,2.066643993797256051e+00,3.259689363654778127e+00,2.164448878516597397e+00,-1.859813521563657979e-01
9.314969053632834450e-01,2.690527577154644856e+00,1.502760532262527340e+04,4.043218653911922593e+04,3.000000000000000000e+01,3.097010000000000000e+05,8.015300000000000000e+04,1.214013467107259991e+00,1.076881067374392487e+00,1.167717135441711296e+00,2.014232130772135143e+00,3.084055475171181282e+00,2.088667179634466908e+00,-1.766087853349549430e-01
1.050388541170085954e+00,4.105972972010609290e+00,5.457325939586200548e+03,2.240763280739334368e+04,1.100000000000000000e+01,1.386870000000000000e+05,3.067500000000000000e+04,2.509608269630184019e+00,5.340940355201762912e+00,1.258772697861229695e+01,1.698496958073915764e+01,2.482913869636777235e+02,3.922586578756536824e+01,-5.567712428073733122e+00
1.048469047783274544e+00,4.068335851500852307e+00,5.244821546903604030e+03,2.133769553399208962e+04,9.000000000000000000e+00,1.326470000000000000e+05,2.781400000000000000e+04,2.615066074652887540e+00,5.844736009304578594e+00,1.439440525083995226e+01,1.917494446303011912e+01,3.184984055376124843e+02,4.632719808112539539e+01,-6.512566802278371370e+00
1.049656159431490599e+00,4.086304991545024023e+00,5.450701846036925417e+03,2.227323016088436270e+04,1.000000000000000000e+01,1.381690000000000000e+05,3.060700000000000000e+04,2.510669125053253126e+00,5.358016980780920591e+00,1.268461117743773769e+01,1.703503363142031901e+01,2.503500500256629095e+02,3.940459042102384046e+01,-5.515985566989684230e+00
1.045638038231570865e+00,4.039318397213017775e+00,5.261721609369989892e+03,2.125376889774149095e+04,1.100000000000000000e+01,1.326040000000000000e+05,2.842400000000000000e+04,2.609007444180852175e+00,5.824078917558111357e+00,1.433836214851895363e+01,1.905843482035650283e+01,3.149876201432742846e+02,4.596453095247760956e+01,-6.310363594993816605e+00
9.948112508756873362e-01,3.515802804197692755e+00,1.424175793842777057e+04,5.007121249662910850e+04,1.800000000000000000e+01,3.355130000000000000e+05,8.936000000000000000e+04,1.136759102628249973e+00,9.036929624424262508e-01,9.380146761536825029e-01,1.677447253237060565e+00,2.096314627756614257e+00,1.592788383689052401e+00,-1.814975203115520852e-01
9.879718940091715140e-01,3.429887962205200314e+00,1.461818246777712920e+04,5.013872807554787869e+04,2.800000000000000000e+01,3.401490000000000000e+05,9.506100000000000000e+04,1.132473314446649226e+00,8.986355687904844514e-01,9.290492512811967529e-01,1.659061874645425760e+00,2.052388842032614402e+00,1.570982027833432548e+00,-1.739118609707299701e-01
9.888108406595484956e-01,3.456363257235615105e+00,1.400269508036351181e+04,4.839840077804235625e+04,1.800000000000000000e+01,3.270830000000000000e+05,8.671900000000000000e+04,1.164270353000376179e+00,9.604528693364143832e-01,1.023950262807693523e+00,1.800479758879075298e+00,2.436823511853195789e+00,1.762540404853292886e+00,-1.958196110812620017e-01
9.945429726559358308e-01,3.502544823589995193e+00,1.396780747837962554e+04,4.892287178030017822e+04,1.700000000000000000e+01,3.284320000000000000e+05,8.719300000000000000e+04,1.164058476293073241e+00,9.548078086536930797e-01,1.011764434370762356e+00,1.794327887917842368e+00,2.409403154846400774e+00,1.751325502962685965e+00,-1.994509317048400732e-01
1.079485510961227357e+00,4.665223182692349368e+00,6.039549499291064421e+03,2.817584633711064089e+04,2.700000000000000000e+01,1.638810000000000000e+05,4.555700000000000000e+04,2.156315178747250982e+00,3.809233896747978854e+00,7.695364826325810981e+00,1.092507122280512988e+01,1.001147939195596166e+02,2.130128317737294807e+01,-3.416690362262194469e+00
1.081348206878464113e+00,4.634518262241146047e+00,6.114052286756443209e+03,2.833568697926997629e+04,1.100000000000000000e+01,1.653590000000000000e+05,4.541300000000000000e+04,2.150224796355479917e+00,3.792315852554196454e+00,7.657636562318749895e+00,1.084439911928518185e+01,9.876639476309699717e+01,2.109715077366843516e+01,-3.328033486364930127e+00
1.044052569795762775e+00,4.013717477141929280e+00,8.900627697102667298e+03,3.572460494539449428e+04,9.000000000000000000e+00,2.236570000000000000e+05,4.828600000000000000e+04,1.636141573854770215e+00,2.081784987405379539e+00,3.166810634090636789e+00,4.867587344928374193e+00,1.908785623605943726e+01,7.015359773343079475e+00,-9.386942102031579083e-01
1.048402344074281123e+00,4.046429211050372565e+00,8.381678977181145456e+03,3.391587065091259865e+04,2.000000000000000000e+01,2.114340000000000000e+05,4.632000000000000000e+04,1.711143686213784765e+00,2.299904502983247223e+00,3.657242983857240226e+00,5.545010160402433108e+00,2.494461506072022772e+01,8.400178037031372114e+00,-1.140703924118023238e+00
1.045622920843019665e+00,4.056898013756211618e+00,8.871446294085904810e+03,3.599055284962201404e+04,1.700000000000000000e+01,2.241040000000000000e+05,5.080700000000000000e+04,1.638313210540824905e+00,2.084711423595392965e+00,3.171965268049366848e+00,4.885211315252472986e+00,1.920661730900333808e+01,7.045579936196551429e+00,-9.569282091849480310e-01
1.054771325966795015e+00,4.043186992805685165e+00,8.496363603512618283e+03,3.435238680786985788e+04,1.700000000000000000e+01,2.142060000000000000e+05,4.462400000000000000e+04,1.693005761921803298e+00,2.244102799042833940e+00,3.527895538164098177e+00,5.373077457985740324e+00,2.336745187989576067e+01,8.040324299300232624e+00,-1.100567495764398274e+00
1.097301655349602667e+00,4.634836910905637097e+00,1.809037195726716891e+04,8.384592367955413647e+04,6.600000000000000000e+01,4.849770000000000000e+05,6.951300000000000000e+04,8.709958689327529369e-01,4.554355553381966293e-01,3.982580215814184310e-01,7.848187844810353697e-01,4.319503414515770134e-01,5.290520265935969579e-01,-7.705520549639148509e-02
1.097829000063918592e+00,4.606828089891212841e+00,1.826634049125293677e+04,8.414989047462129383e+04,4.500000000000000000e+01,4.881240000000000000e+05,6.746400000000000000e+04,8.641432845605645507e-01,4.455663941840425912e-01,3.862426939312349483e-01,7.657568883074463706e-01,4.097009983537054922e-01,5.105992901399567518e-01,-7.469004026037300015e-02
1.111507660805385100e+00,4.790440201315048441e+00,2.309586108096739918e+04,1.106393414062538504e+05,5.600000000000000000e+01,6.289760000000000000e+05,8.682600000000000000e+04,7.213005667300922408e-01,2.782109067012928372e-01,2.203466609969833845e-01,4.535428030231516416e-01,1.391620635503040826e-01,2.391250733077126545e-01,-3.451079152611546963e-02
1.106663398271103604e+00,4.732935336264259440e+00,2.346229579081438715e+04,1.110455288182296208e+05,6.400000000000000000e+01,6.351440000000000000e+05,8.191600000000000000e+04,7.138642740055025637e-01,2.712195764214428428e-01,2.125001185272959170e-01,4.398095525986617238e-01,1.304388645718191631e-01,2.289582921083380129e-01,-3.261622060865695949e-02
1.109882476758466741e+00,4.792441586324013514e+00,2.312197792241773277e+04,1.108107285534604453e+05,4.200000000000000000e+01,6.298970000000000000e+05,8.590500000000000000e+04,7.240551173716713862e-01,2.812152797296745832e-01,2.234119381733322418e-01,4.588775280983429239e-01,1.426643760150480555e-01,2.432367720463029515e-01,-3.512972060140234776e-02
1.106828200003962426e+00,4.726175424023254301e+00,2.353308581378738745e+04,1.112214918245522276e+05,4.500000000000000000e+01,6.367600000000000000e+05,8.258000000000000000e+04,7.139961487413232222e-01,2.709778983191373780e-01,2.120259548454737908e-01,4.396891061824504954e-01,1.301970456623088024e-01,2.287938708929034282e-01,-3.273668225767601553e-02
1.036452406214706468e+00,4.016681962379173854e+00,2.177026662887727434e+04,8.744423728439661500e+04,2.600000000000000000e+01,5.481680000000000000e+05,1.562560000000000000e+05,7.820485025649052124e-01,3.536180978231943106e-01,2.725205251474117629e-01,5.690543708548292390e-01,2.201209697075037219e-01,3.381206447270140858e-01,-4.201053837715014450e-02
1.038045928353710901e+00,4.030097234733394984e+00,2.157046457729171379e+04,8.693106964485799836e+04,3.200000000000000000e+01,5.440540000000000000e+05,1.515010000000000000e+05,7.855583345776440130e-01,3.597462299930796470e-01,2.804758289718775610e-01,5.788035886260447516e-01,2.292670423117499634e-01,3.468718668162244501e-01,-4.269507781812475339e-02
1.096130861084761099e+00,4.599519118474037604e+00,6.146259108391423069e+03,2.826983627614154102e+04,9.000000000000000000e+00,1.642190000000000000e+05,2.374100000000000000e+04,2.161298011569147803e+00,3.829784505210935830e+00,7.769495665802383044e+00,1.101212029401492742e+01,1.018013524009418660e+02,2.152916215291056545e+01,-3.450253686474631820e+00
1.096721427651335068e+00,4.581990756953867816e+00,6.178972588731987344e+03,2.831199528904127874e+04,1.200000000000000000e+01,1.647860000000000000e+05,2.504000000000000000e+04,2.159430961153089079e+00,3.819403731761228382e+00,7.723322893482788665e+00,1.097327399032629813e+01,1.009617523928938141e+02,2.142413362179967606e+01,-3.423607465834876962e+00
1.113123100701381540e+00,4.793915948979527997e+00,2.709177018560483702e+04,1.298756691788590833e+05,3.200000000000000000e+01,7.361840000000000000e+05,7.892400000000000000e+04,6.469165549804920534e-01,2.077474791552013922e-01,1.578946930562765416e-01,3.294828355297350075e-01,7.212341246295657371e-02,1.501678310876322642e-01,-2.111490544084385426e-02
1.115051760130296721e+00,4.797534456479612963e+00,2.707726057024607144e+04,1.299040905728323414e+05,6.800000000000000000e+01,7.358270000000000000e+05,7.928100000000000000e+04,6.474106585641525857e-01,2.078435315893145396e-01,1.579949392345443571e-01,3.299870391387894619e-01,7.229590746660329026e-02,1.504326091787620834e-01,-2.122491274529524075e-02
1.145853805243158163e+00,5.274224649910733476e+00,3.013281988470329088e+04,1.589272614072223951e+05,6.700000000000000000e+01,8.580480000000000000e+05,9.168400000000000000e+04,5.934139267649156668e-01,1.620148613493130607e-01,1.279792283594155256e-01,2.557294580842362497e-01,4.375830823697243743e-02,1.029180479365406076e-01,-1.501817245921096416e-02
