Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
9.293035162496622315e-01,1.007262429542651549e+00,2.905200192735065866e+04,2.926299004442101796e+04,4.200000000000000000e+01,3.633850000000000000e+05,5.586900000000000000e+04,1.042536735986255181e+00,7.783398861734371899e-01,6.870319618609801449e-01,1.276914771827664552e+00,1.196000374897019825e+00,1.126539783029587571e+00,-3.775773984153740770e-04
9.299876741010607573e-01,1.009407306506896251e+00,2.916736887881656367e+04,2.944175525785929858e+04,4.000000000000000000e+01,3.652360000000000000e+05,5.531400000000000000e+04,1.039156780541329317e+00,7.715840189764900936e-01,6.769849729064043586e-01,1.263897436659738194e+00,1.169114916834263829e+00,1.110205596525861482e+00,-6.256115783178639589e-04
9.313325938900967049e-01,1.009381880153975342e+00,1.832886009482987720e+04,1.850081926359855424e+04,3.000000000000000000e+01,2.295320000000000000e+05,3.466000000000000000e+04,1.555668468339287180e+00,1.946491497186252806e+00,2.716008048717792001e+00,4.108853395753775395e+00,1.372607869352706089e+01,5.732537113342381474e+00,-3.044744819456823848e-03
9.282997764381024641e-01,1.006183838032672417e+00,1.855388753829822235e+04,1.866862177371147845e+04,2.800000000000000000e+01,2.319710000000000000e+05,3.842800000000000000e+04,1.535046887429914797e+00,1.889114188371854075e+00,2.595414086390332553e+00,3.950932629722863965e+00,1.265181276184549475e+01,5.430361220814495127e+00,-2.585958770476182167e-03
9.995120127713660318e-01,1.009668717117590653e+00,3.104896148310219360e+04,3.134916510847727841e+04,4.000000000000000000e+01,3.832440000000000000e+05,2.315000000000000000e+04,9.954613526054849615e-01,6.940089906970595690e-01,5.791005863106468698e-01,1.117919755799664738e+00,8.994825834827422373e-01,9.313076214037231404e-01,-8.420066658395009007e-04
9.954647824245547172e-01,1.007630092537606048e+00,3.122067264607453035e+04,3.145888926745038407e+04,2.800000000000000000e+01,3.851530000000000000e+05,2.956700000000000000e+04,9.912631240503078089e-01,6.864489640192734665e-01,5.687111921513181567e-01,1.103374380280347733e+00,8.740376055722225423e-01,9.141700783614742365e-01,-6.290873793553530824e-04
9.390555673240230661e-01,1.020729114770025925e+00,1.521546234515020842e+04,1.553086541038183532e+04,2.700000000000000000e+01,1.914330000000000000e+05,2.851200000000000000e+04,1.828100739148061926e+00,2.780755901715973977e+00,4.636929951945933936e+00,6.595197364919817673e+00,3.647177660484632611e+01,1.099788394644951062e+01,-1.630717396151126763e-02
9.417518353129560316e-01,1.014465674125321737e+00,1.520737654342065798e+04,1.542736149679884147e+04,2.400000000000000000e+01,1.906310000000000000e+05,2.650900000000000000e+04,1.831755924295634941e+00,2.791469943785941155e+00,4.660222112329570621e+00,6.631822776501014260e+00,3.686826197122488225e+01,1.108024447617950692e+01,-8.411734064480924644e-03
